country,year,co2,co2_per_capita,population,gdp,coal_co2,oil_co2,gas_co2,iso_code,methane,total_ghg,primary_energy_consumption,temperature_change_from_co2
Afghanistan,2024,10.826,0.254,42647502.0,,3.894,6.795,0.126,AFG,16.618,39.886,39.453,0.001
Albania,2024,4.444,1.592,2791756.0,,0.495,2.956,0.086,ALB,2.174,6.708,25.594,0.0
Algeria,2024,198.203,4.234,46814302.0,,0.606,68.143,101.8,DZA,69.212,276.134,760.133,0.003
Andorra,2024,0.425,5.182,81955.0,,0.0,0.417,0.007,AND,0.077,0.531,,0.0
Angola,2024,22.334,0.589,37885854.0,,,15.569,1.766,AGO,43.542,159.462,100.765,0.003
Anguilla,2024,0.148,10.127,14623.0,,,0.148,,AIA,,,,0.0
Antarctica,2024,0.0,,,,,,,ATA,,,0.051,0.0
Antigua and Barbuda,2024,0.665,7.092,93782.0,,,0.665,,ATG,0.056,0.724,3.118,0.0
Argentina,2024,171.059,3.743,45696153.0,,3.162,72.461,89.168,ARG,114.124,416.982,983.105,0.009
Armenia,2024,7.431,2.499,2973843.0,,0.046,1.545,5.26,ARM,1.648,10.311,49.78,0.0
Aruba,2024,0.921,8.518,108076.0,,,0.921,,ABW,0.023,0.953,4.926,0.0
Australia,2024,386.732,14.477,26713206.0,,142.549,145.789,75.353,AUS,135.639,609.924,1672.114,0.015
Austria,2024,56.368,6.18,9120815.0,,11.154,28.888,13.573,AUT,9.31,68.248,412.337,0.003
Azerbaijan,2024,39.83,3.853,10336577.0,,0.044,13.169,25.126,AZE,12.679,57.342,208.152,0.001
Bahamas,2024,3.07,7.65,401282.0,,0.004,3.066,,BHS,0.343,3.458,13.902,0.0
Bahrain,2024,39.003,24.27,1607059.0,,,4.734,33.824,BHR,23.757,62.974,244.335,0.001
Bangladesh,2024,108.318,0.624,173562366.0,,26.008,24.879,55.992,BGD,95.567,241.064,529.073,0.002
Barbados,2024,1.365,4.833,282476.0,,,1.223,0.037,BRB,0.16,1.543,6.77,0.0
Belarus,2024,55.818,6.163,9056696.0,,3.427,18.468,30.622,BLR,18.577,94.578,313.657,0.004
Belgium,2024,85.456,7.28,11738761.0,,11.492,41.96,28.075,BEL,11.92,107.948,644.116,0.006
Belize,2024,0.796,1.909,417077.0,,,0.791,,BLZ,0.501,7.948,4.218,0.0
Benin,2024,6.066,0.419,14462721.0,,0.332,4.942,0.327,BEN,7.57,40.935,31.41,0.0
Bermuda,2024,0.55,8.506,64660.0,,0.0,0.55,,BMU,,,2.411,0.0
Bhutan,2024,1.657,2.094,791530.0,,0.847,0.497,,BTN,1.103,7.387,17.796,0.0
Bolivia,2024,28.709,2.313,12413318.0,,0.025,14.533,12.413,BOL,27.595,160.017,116.442,0.003
Bonaire Sint Eustatius and Saba,2024,0.152,4.947,30699.0,,,0.152,,BES,,,,0.0
Bosnia and Herzegovina,2024,19.426,6.139,3164256.0,,13.869,4.724,0.451,BIH,5.605,26.472,87.513,0.001
Botswana,2024,7.462,2.96,2521145.0,,4.361,3.096,0.0,BWA,10.223,26.201,24.734,0.0
Brazil,2024,483.012,2.278,211998565.0,,50.954,323.865,58.914,BRA,579.99,2804.431,3919.054,0.061
British Virgin Islands,2024,0.193,4.874,39498.0,,,0.193,,VGB,0.012,0.209,0.788,0.0
Brunei,2024,12.052,26.046,462734.0,,3.003,3.787,5.073,BRN,1.578,14.962,56.444,0.0
Bulgaria,2024,31.622,4.679,6757686.0,,10.285,13.574,5.022,BGR,8.962,40.275,191.794,0.002
Burkina Faso,2024,6.508,0.276,23548782.0,,,5.306,,BFA,22.744,59.459,25.021,0.001
Burundi,2024,0.917,0.065,14047788.0,,0.052,0.862,,BDI,4.705,9.702,3.91,0.0
Cambodia,2024,21.883,1.241,17638804.0,,6.078,9.783,,KHM,23.828,91.824,87.629,0.002
Cameroon,2024,9.632,0.331,29123748.0,,,5.599,1.114,CMR,21.405,64.827,35.029,0.002
Canada,2024,533.34,13.42,39742429.0,,28.672,244.572,233.468,CAN,115.338,802.732,3886.195,0.031
Cape Verde,2024,0.594,1.131,524878.0,,,0.594,,CPV,0.158,0.844,3.113,0.0
Central African Republic,2024,0.395,0.074,5330691.0,,,0.395,,CAF,13.129,68.664,1.901,0.0
Chad,2024,2.831,0.139,20299131.0,,,2.249,,TCD,73.7,125.907,7.765,0.001
Chile,2024,78.726,3.983,19764774.0,,10.874,54.435,12.559,CHL,18.641,104.4,518.732,0.003
China,2024,12289.037,8.658,1419321284.0,,8886.021,1705.386,889.406,CHN,1590.674,14107.007,48987.102,0.155
Christmas Island,2024,0.0,,,,,,,CXR,,,,0.0
Colombia,2024,92.659,1.752,52886360.0,,22.3,42.094,23.021,COL,91.299,248.28,615.888,0.011
Comoros,2024,0.552,0.637,866632.0,,,0.552,,COM,0.401,1.033,1.578,0.0
Congo,2024,8.84,1.396,6332969.0,,,2.487,2.366,COG,15.13,41.879,24.432,0.001
Cook Islands,2024,0.08,5.824,13750.0,,,0.08,,COK,0.014,0.088,0.504,0.0
Costa Rica,2024,8.76,1.708,5129909.0,,0.049,8.283,,CRI,5.544,14.982,49.387,0.001
Cote d'Ivoire,2024,14.829,0.464,31934229.0,,,9.413,5.349,CIV,12.992,140.715,83.415,0.004
Croatia,2024,18.465,4.765,3875325.0,,0.908,11.089,4.932,HRV,3.16,22.456,103.144,0.001
Cuba,2024,24.44,2.226,10979781.0,,0.004,22.015,2.024,CUB,11.732,39.441,84.257,0.002
Curacao,2024,2.29,12.344,185482.0,,,2.29,,CUW,,,,0.0
Cyprus,2024,7.299,5.374,1358287.0,,0.057,6.282,0.0,CYP,2.37,9.493,33.348,0.0
Czechia,2024,75.623,7.044,10735857.0,,34.352,24.407,14.041,CZE,12.622,84.448,392.823,0.006
Democratic Republic of Congo,2024,5.904,0.054,109276264.0,,0.065,4.843,0.0,COD,52.444,680.714,34.145,0.011
Denmark,2024,28.369,4.746,5977417.0,,1.803,21.477,3.556,DNK,10.216,45.939,196.253,0.002
Djibouti,2024,0.564,0.483,1168726.0,,,0.378,,DJI,1.22,2.114,3.508,0.0
Dominica,2024,0.171,2.58,66226.0,,,0.171,,DMA,0.058,0.205,0.774,0.0
Dominican Republic,2024,33.131,2.899,11427558.0,,7.96,19.351,3.488,DOM,12.226,48.538,140.02,0.001
East Timor,2024,0.668,0.477,1400638.0,,,0.634,0.0,TLS,1.032,4.875,2.777,0.0
Ecuador,2024,45.98,2.535,18135478.0,,,39.525,1.171,ECU,21.65,63.137,230.721,0.003
Egypt,2024,258.368,2.217,116538256.0,,12.121,112.97,102.624,EGY,49.838,332.462,1125.86,0.003
El Salvador,2024,8.972,1.416,6338197.0,,0.0,7.853,0.739,SLV,3.206,9.874,46.812,0.0
Equatorial Guinea,2024,7.01,3.704,1892523.0,,,0.997,5.619,GNQ,2.699,11.687,31.068,0.0
Eritrea,2024,0.743,0.21,3535610.0,,,0.673,,ERI,4.737,10.419,3.137,0.0
Estonia,2024,8.307,6.105,1360548.0,,4.547,3.073,0.627,EST,1.33,12.116,55.764,0.001
Eswatini,2024,1.045,0.841,1242829.0,,0.18,0.865,,SWZ,1.175,1.622,6.968,0.0
Ethiopia,2024,17.837,0.135,132059770.0,,2.898,11.994,,ETH,119.017,247.136,90.554,0.003
Faroe Islands,2024,0.725,13.089,55419.0,,,0.725,,FRO,,,3.582,0.0
Fiji,2024,1.445,1.556,928800.0,,,1.445,,FJI,0.762,1.307,10.171,0.0
Finland,2024,29.775,5.301,5617311.0,,7.784,18.189,2.779,FIN,5.699,87.955,334.594,0.003
France,2024,264.156,3.969,66548532.0,,19.469,170.692,62.699,FRA,62.809,337.876,2519.901,0.017
French Polynesia,2024,0.923,3.275,281816.0,,,0.923,,PYF,,,5.725,0.0
Gabon,2024,5.399,2.126,2538953.0,,,1.839,1.069,GAB,14.324,27.384,17.172,0.001
Gambia,2024,0.803,0.291,2759999.0,,,0.803,,GMB,1.201,2.937,2.301,0.0
Georgia,2024,11.784,3.095,3807668.0,,0.823,3.733,6.455,GEO,3.259,12.429,71.577,0.0
Germany,2024,572.319,6.769,84552234.0,,162.639,232.958,157.679,DEU,56.136,659.655,3195.441,0.043
Ghana,2024,21.022,0.611,34427417.0,,,12.541,7.679,GHA,19.532,52.005,112.348,0.001
Greece,2024,53.361,5.311,10047813.0,,4.823,33.378,11.771,GRC,9.912,56.787,321.187,0.002
Greenland,2024,0.619,11.08,55864.0,,,0.619,,GRL,,,2.7,0.0
Grenada,2024,0.377,3.216,117218.0,,,0.377,,GRD,0.049,0.404,1.679,0.0
Guatemala,2024,19.88,1.08,18406366.0,,1.192,17.358,,GTM,18.388,65.672,99.95,0.002
Guinea,2024,4.026,0.273,14754779.0,,,4.026,,GIN,21.527,78.531,21.888,0.002
Guinea-Bissau,2024,0.342,0.155,2201360.0,,,0.342,,GNB,2.094,8.138,1.525,0.0
Guyana,2024,4.51,5.427,831092.0,,0.0,4.315,0.006,GUY,3.912,13.388,16.447,0.0
Haiti,2024,2.971,0.252,11772562.0,,,2.864,,HTI,8.933,11.872,7.09,0.0
Honduras,2024,12.855,1.187,10825704.0,,,12.132,,HND,8.958,34.531,56.745,0.002
Hong Kong,2024,33.324,4.494,7414914.0,,11.347,10.369,10.997,HKG,5.148,38.914,272.932,0.001
Hungary,2024,40.017,4.136,9676135.0,,3.611,18.643,16.807,HUN,9.494,47.507,260.792,0.003
Iceland,2024,3.803,9.667,393404.0,,0.868,2.748,0.002,ISL,0.557,5.057,62.817,0.0
India,2024,3193.478,2.201,1450935785.0,,2108.033,747.333,149.352,IND,859.294,4262.411,11336.057,0.041
Indonesia,2024,812.22,2.865,283487933.0,,436.117,243.183,99.701,IDN,412.009,1902.535,2984.731,0.041
Iran,2024,792.631,8.656,91567737.0,,6.398,213.729,492.658,IRN,170.996,1012.216,3589.786,0.011
Iraq,2024,233.635,5.074,46042015.0,,0.006,147.533,38.828,IRQ,156.213,398.127,736.781,0.003
Ireland,2024,33.311,6.339,5255016.0,,1.947,18.655,10.28,IRL,17.634,60.206,181.792,0.001
Israel,2024,52.637,5.607,9387015.0,,10.063,20.254,20.423,ISR,8.964,64.151,277.774,0.001
Italy,2024,301.93,5.088,59342870.0,,11.294,154.362,124.767,ITA,40.757,355.972,1696.287,0.012
Jamaica,2024,8.402,2.959,2839182.0,,0.236,6.351,1.458,JAM,0.759,9.092,35.502,0.0
Japan,2024,961.867,7.772,123753041.0,,380.972,353.593,195.299,JPN,28.82,1007.159,4794.816,0.033
Jordan,2024,23.219,2.01,11552885.0,,1.7,12.583,7.201,JOR,5.936,31.035,107.629,0.0
Kazakhstan,2024,287.006,13.937,20592574.0,,160.167,69.425,37.819,KAZ,54.973,372.231,862.112,0.011
Kenya,2024,21.225,0.376,56432946.0,,3.222,14.745,,KEN,53.82,99.481,94.626,0.001
Kiribati,2024,0.072,0.539,134521.0,,,0.072,,KIR,0.031,0.111,0.36,0.0
